Backbone,Family,Year,Img Size,Test Accuracy,Test AUC,Test Log-Loss,WEAT |d|,Bias p-value,Bias class,Mean |DCE|,DCE_age,DCE_sex,DCE_localization,sigma2_d0.0,sigma2_d0.3,sigma2_d0.5,H_epistemic,H_aleatoric,KL_uniform,Train time (min),Macro-F1,Balanced Acc,sigma2_d0.0_strat,sigma2_d0.3_strat,sigma2_d0.5_strat
vgg11,VGG,2014,340,0.6966,0.7967,0.9869,1.2205,0.002,High |d|>=0.5,0.07086,-0.120271,-2.9e-05,0.09228,2e-06,0.000168,0.000272,0.01891,1.16225,0.76475,51.86,0.1735,0.1851,3e-06,0.000224,0.000364
vgg13,VGG,2014,340,0.7389,0.8769,0.8043,1.097,0.002,High |d|>=0.5,0.04252,0.00961,-7.6e-05,0.117879,2e-06,9.7e-05,0.000164,0.02317,1.02177,0.90097,33.18,0.4211,0.4275,1e-06,0.0001,0.000265
vgg16,VGG,2014,340,0.6966,0.7852,0.979,1.4041,0.002,High |d|>=0.5,0.0767,-0.105605,-0.000548,0.123947,1e-06,7.5e-05,0.000177,0.01934,1.17884,0.74773,37.21,0.1811,0.1902,1e-06,0.000102,0.000154
vgg19,VGG,2014,340,0.6956,0.7845,1.004,1.2926,0.002,High |d|>=0.5,0.07847,-0.123987,-1.2e-05,0.111415,3e-06,8.7e-05,0.000221,0.0194,1.14346,0.78304,38.28,0.1606,0.1792,2e-06,0.000113,0.000162
resnet18,ResNet,2015,340,0.805,0.9521,0.6354,0.7746,0.002,High |d|>=0.5,0.04048,0.117671,0.000768,0.003005,3.4e-05,0.000588,0.000589,0.04689,0.69804,1.20098,28.74,0.5856,0.5611,3e-05,0.00066,0.001584
resnet34,ResNet,2015,340,0.8091,0.9491,0.6673,0.649,0.002,High |d|>=0.5,0.04515,0.082955,-0.000876,0.051605,1.5e-05,0.000378,0.000746,0.0289,0.5105,1.40651,29.09,0.5995,0.5686,2.3e-05,0.000453,0.000796
resnet50,ResNet,2015,340,0.8184,0.952,0.6644,0.7218,0.002,High |d|>=0.5,0.00962,-0.0256,6.1e-05,0.0032,1.5e-05,0.000208,0.000647,0.03148,0.39877,1.51566,29.33,0.6102,0.5791,5e-06,0.000506,0.001196
resnet101,ResNet,2015,340,0.8142,0.9511,0.6547,0.7673,0.002,High |d|>=0.5,0.0658,0.122022,-0.00026,0.07512,1e-05,0.000496,0.001212,0.0408,0.47872,1.42639,32.74,0.6406,0.625,5e-06,0.000426,0.001076
resnet152,ResNet,2015,340,0.8411,0.9519,0.6917,0.6394,0.002,High |d|>=0.5,0.02707,0.027022,-0.000343,0.053844,9e-06,0.000556,0.0017,0.02711,0.34675,1.57205,40.02,0.672,0.643,6e-06,0.00086,0.001602
inception_v3,Inception,2015,299,0.7822,0.9375,0.6553,0.889,0.002,High |d|>=0.5,0.02677,-0.003114,-4e-06,0.077206,9e-06,0.000221,0.000376,0.02559,0.8091,1.11122,28.97,0.6052,0.5503,1e-05,0.000169,0.000377
inception_v4,Inception,2016,340,0.7946,0.9329,0.6692,0.8447,0.002,High |d|>=0.5,0.05173,0.100798,-0.00029,0.054095,9e-06,0.000193,0.000236,0.02573,0.85979,1.06039,32.05,0.5771,0.5388,6e-06,0.000168,0.000157
inception_resnet,Inception,2016,340,0.8256,0.9492,0.6425,0.73,0.002,High |d|>=0.5,0.04338,0.081008,-0.001295,0.047843,4e-06,0.000445,0.000591,0.04274,0.64191,1.26126,32.18,0.6318,0.6155,7e-06,0.000682,0.000899
unet,U-Net,2015,340,0.7224,0.8917,0.7882,1.0579,0.002,High |d|>=0.5,0.03495,0.036458,-0.000202,0.0682,1e-06,5.4e-05,0.000239,0.02141,1.03362,0.89088,31.94,0.3324,0.2989,4e-06,0.000114,0.000105
unet_pp,U-Net,2018,340,0.7317,0.9022,0.7764,0.9433,0.002,High |d|>=0.5,0.02476,0.022519,0.000105,0.051667,1e-06,7.6e-05,0.000196,0.0237,1.21762,0.70459,31.95,0.4016,0.3611,1e-06,6.4e-05,0.000174
attention_unet,U-Net,2018,340,0.7265,0.8961,0.8014,1.169,0.002,High |d|>=0.5,0.03641,0.050638,-0.000204,0.058397,2e-06,0.000111,0.000259,0.02488,1.15595,0.76508,31.99,0.4178,0.3693,2e-06,0.000123,0.00034
residual_unet,U-Net,2017,340,0.7307,0.8945,0.7686,1.0995,0.002,High |d|>=0.5,0.03661,0.06153,3.3e-05,0.04827,6e-06,7.3e-05,0.000199,0.02323,1.10499,0.81769,32.82,0.3674,0.3475,6e-06,0.000136,0.000255
unet3d,U-Net,2016,340,0.7172,0.8867,0.8135,0.9786,0.002,High |d|>=0.5,0.03032,0.011086,-5.4e-05,0.07982,2e-06,0.000106,0.000286,0.02282,1.08211,0.84098,32.01,0.2877,0.2776,2e-06,0.000154,0.000287
