label,Accuracy,Macro-F1,Balanced Acc,AUC,Log-Loss,Parameters,Train time(min),experiment
adamw,0.8349,0.6943,0.6672,0.956,0.6255,27479239,19.48,Optimizer
sgd,0.6987,0.1736,0.1973,0.7245,0.9899,27479239,19.64,Optimizer
rmsprop,0.8091,0.6612,0.6378,0.9479,0.6976,27479239,19.62,Optimizer
adam,0.8111,0.6074,0.5824,0.9438,0.7121,27479239,19.61,Optimizer
0.001,0.8338,0.6689,0.631,0.9569,0.6225,27479239,23.9,Learning Rate
0.0003,0.8111,0.6225,0.607,0.9513,0.7033,27479239,19.4,Learning Rate
1e-05,0.8008,0.6145,0.5996,0.9452,0.7357,27479239,19.37,Learning Rate
8,0.8194,0.6352,0.613,0.9569,0.6627,27479239,19.97,Batch Size
16,0.8194,0.6477,0.6367,0.9564,0.6746,27479239,19.41,Batch Size
32,0.8338,0.6715,0.6597,0.9541,0.6282,27479239,19.59,Batch Size
64,0.8246,0.6526,0.6274,0.9449,0.6579,27479239,22.56,Batch Size
0.0,0.8122,0.6472,0.6279,0.9494,0.7228,27479239,19.28,Dropout Rate
0.3,0.8338,0.6819,0.6667,0.9566,0.673,27479239,19.23,Dropout Rate
0.5,0.805,0.6293,0.6012,0.9401,0.7315,27479239,19.17,Dropout Rate
relu,0.8039,0.6202,0.5899,0.9422,0.6876,27479239,19.39,Activation Function
gelu,0.806,0.602,0.5809,0.9409,0.7412,27479239,19.77,Activation Function
elu,0.8132,0.6165,0.6152,0.9555,0.6461,27479239,19.42,Activation Function
tanh,0.8235,0.6845,0.6873,0.9558,0.5781,27479239,19.46,Activation Function
cosine,0.8173,0.6021,0.6003,0.9481,0.6743,27479239,19.4,LR Scheduler
step,0.8153,0.6358,0.6083,0.953,0.7091,27479239,19.37,LR Scheduler
exponential,0.8204,0.6929,0.6679,0.9554,0.7114,27479239,19.39,LR Scheduler
none,0.8101,0.628,0.6108,0.9324,0.6471,27479239,19.27,LR Scheduler
0.0,0.8215,0.6517,0.6347,0.9538,0.6663,27479239,19.42,Weight Decay (λ)
0.0001,0.8235,0.6321,0.5971,0.9546,0.6718,27479239,20.04,Weight Decay (λ)
0.01,0.8235,0.6187,0.6036,0.9471,0.6692,27479239,19.38,Weight Decay (λ)
