Backbone,Family,Year,Parameters(M),Test Accuracy,Test AUC,WEAT |d|,H_epistemic,Train time (min)
resnet18,ResNet,2015,11.7,0.805,0.9521,0.7746,0.04689,28.74
resnet34,ResNet,2015,21.8,0.8091,0.9491,0.649,0.0289,29.09
resnet50,ResNet,2015,25.6,0.8184,0.952,0.7218,0.03148,29.33
inception_v3,Inception,2015,27.2,0.7822,0.9375,0.889,0.02559,28.97
unet,U-Net,2015,31.0,0.7224,0.8917,1.0579,0.02141,31.94
unet3d,U-Net,2016,31.0,0.7172,0.8867,0.9786,0.02282,32.01
residual_unet,U-Net,2017,32.1,0.7307,0.8945,1.0995,0.02323,32.82
attention_unet,U-Net,2018,34.9,0.7265,0.8961,1.169,0.02488,31.99
unet_pp,U-Net,2018,36.6,0.7317,0.9022,0.9433,0.0237,31.95
inception_v4,Inception,2016,42.7,0.7946,0.9329,0.8447,0.02573,32.05
resnet101,ResNet,2015,44.5,0.8142,0.9511,0.7673,0.0408,32.74
inception_resnet,Inception,2016,55.9,0.8256,0.9492,0.73,0.04274,32.18
resnet152,ResNet,2015,60.2,0.8411,0.9519,0.6394,0.02711,40.02
vgg11,VGG,2014,132.9,0.6966,0.7967,1.2205,0.01891,51.86
vgg13,VGG,2014,133.0,0.7389,0.8769,1.097,0.02317,33.18
vgg16,VGG,2014,138.4,0.6966,0.7852,1.4041,0.01934,37.21
vgg19,VGG,2014,143.7,0.6956,0.7845,1.2926,0.0194,38.28
